CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees,Day,Month,Year
1997-08-25,25.0,22.0,19.0,18.0,14.0,12.0,94.0,66.0,47.0,1015,1014,1013,10.0,10.0,5.0,27,11,47.0,0.0,6.0,Rain-Thunderstorm,193,25,August,1997
1997-08-27,28.0,22.0,16.0,13.0,7.0,3.0,77.0,42.0,27.0,1014,1013,1011,10.0,10.0,7.0,34,18,52.0,0.0,5.0,Rain,214,27,August,1997
1997-08-28,23.0,18.0,14.0,13.0,4.0,1.0,77.0,42.0,25.0,1023,1017,1012,10.0,10.0,10.0,37,21,48.0,0.0,3.0,Rain,288,28,August,1997
1997-09-24,30.0,23.0,16.0,14.0,9.0,6.0,68.0,47.0,30.0,1020,1018,1016,10.0,10.0,8.0,23,8,,0.0,4.0,Rain-Thunderstorm,345,24,September,1997
1997-09-25,27.0,20.0,14.0,15.0,11.0,8.0,94.0,61.0,32.0,1021,1019,1018,10.0,9.0,3.0,21,6,,0.0,5.0,Rain-Thunderstorm,21,25,September,1997
1997-09-26,21.0,18.0,16.0,14.0,13.0,11.0,77.0,73.0,56.0,1021,1020,1019,10.0,8.0,4.0,10,5,,0.0,7.0,Rain-Thunderstorm,64,26,September,1997
1997-09-28,24.0,20.0,17.0,12.0,11.0,10.0,72.0,56.0,41.0,1025,1015,1013,10.0,10.0,10.0,13,6,,0.0,4.0,Rain,72,28,September,1997
1997-09-30,28.0,22.0,16.0,14.0,12.0,9.0,77.0,57.0,32.0,1023,1022,1020,10.0,10.0,7.0,29,10,48.0,0.0,3.0,Rain-Thunderstorm,17,30,September,1997
1997-10-05,26.0,20.0,14.0,12.0,9.0,8.0,72.0,53.0,36.0,1018,1015,1012,10.0,10.0,9.0,26,6,,0.0,4.0,Rain,134,5,October,1997
1997-10-06,24.0,20.0,16.0,13.0,11.0,8.0,82.0,58.0,36.0,1012,1011,1009,10.0,10.0,8.0,23,10,,0.0,5.0,Rain,208,6,October,1997
1997-10-20,20.0,18.0,15.0,14.0,11.0,8.0,82.0,71.0,52.0,1016,1014,1013,10.0,9.0,7.0,24,6,,0.0,7.0,Rain,207,20,October,1997
1997-10-23,19.0,14.0,10.0,10.0,8.0,5.0,82.0,65.0,43.0,1015,1014,1012,10.0,8.0,1.0,14,6,,0.0,4.0,Fog,236,23,October,1997
1997-10-25,23.0,16.0,8.0,18.0,9.0,7.0,100.0,71.0,38.0,1021,1019,1018,10.0,10.0,8.0,11,3,,0.0,5.0,Rain,329,25,October,1997
1997-10-27,19.0,16.0,13.0,15.0,13.0,12.0,100.0,86.0,68.0,1019,1016,1014,10.0,9.0,7.0,23,5,,0.0,6.0,Rain,200,27,October,1997
1997-10-28,19.0,16.0,13.0,14.0,11.0,5.0,88.0,75.0,52.0,1019,1015,1014,10.0,10.0,8.0,29,18,,0.0,4.0,Rain,271,28,October,1997
1997-11-02,12.0,10.0,8.0,11.0,9.0,6.0,100.0,92.0,82.0,1017,1014,1011,10.0,6.0,3.0,11,6,,0.0,6.0,Rain,358,2,November,1997
1997-11-03,19.0,14.0,11.0,15.0,11.0,8.0,100.0,85.0,52.0,1011,1008,1006,10.0,7.0,3.0,23,8,,0.0,6.0,Rain,295,3,November,1997
1997-11-04,18.0,16.0,13.0,13.0,9.0,6.0,94.0,74.0,49.0,1013,1010,1007,10.0,9.0,4.0,24,14,42.0,0.0,6.0,Rain,248,4,November,1997
1997-11-05,16.0,13.0,11.0,14.0,12.0,8.0,100.0,91.0,72.0,1012,1004,993,10.0,6.0,1.0,26,11,,0.0,8.0,Rain,194,5,November,1997
1997-11-06,16.0,11.0,6.0,12.0,5.0,1.0,88.0,70.0,54.0,1003,992,981,10.0,9.0,5.0,58,27,103.0,0.0,5.0,Rain,224,6,November,1997
1997-11-07,13.0,10.0,7.0,10.0,8.0,5.0,100.0,88.0,72.0,1008,1005,1003,10.0,10.0,8.0,19,11,,0.0,7.0,Rain,213,7,November,1997
1997-11-08,14.0,12.0,11.0,10.0,8.0,5.0,82.0,72.0,62.0,1015,1012,1008,10.0,10.0,8.0,37,23,48.0,0.0,5.0,Rain,230,8,November,1997
1997-11-09,15.0,12.0,9.0,10.0,7.0,4.0,93.0,74.0,48.0,1016,1014,1010,10.0,10.0,10.0,27,16,,0.0,5.0,Rain,233,9,November,1997
1997-11-11,12.0,10.0,8.0,8.0,3.0,-2.0,93.0,68.0,50.0,1010,1006,1004,10.0,9.0,7.0,29,26,48.0,0.0,5.0,Rain,255,11,November,1997
1997-11-13,9.0,7.0,5.0,8.0,7.0,3.0,100.0,93.0,81.0,1015,1011,1008,10.0,8.0,2.0,11,8,,0.0,7.0,Rain,250,13,November,1997
1997-11-14,14.0,10.0,6.0,9.0,7.0,3.0,100.0,89.0,67.0,1021,1017,1012,10.0,4.0,0.0,11,3,,0.0,3.0,Fog,106,14,November,1997
1997-11-15,13.0,9.0,6.0,8.0,7.0,5.0,100.0,90.0,72.0,1023,1022,1021,9.0,4.0,0.0,10,2,,0.0,2.0,Fog,61,15,November,1997
1997-11-16,13.0,8.0,4.0,9.0,7.0,4.0,100.0,93.0,72.0,1022,1021,1020,7.0,2.0,0.0,11,3,,0.0,3.0,Fog,118,16,November,1997
1997-11-17,10.0,8.0,7.0,8.0,8.0,7.0,100.0,93.0,87.0,1021,1018,1013,3.0,2.0,0.0,10,3,,0.0,8.0,Fog,45,17,November,1997
1997-11-18,14.0,11.0,8.0,11.0,8.0,4.0,94.0,88.0,58.0,1013,1011,1009,10.0,3.0,1.0,14,6,,0.0,6.0,Fog-Rain,329,18,November,1997
1997-11-21,13.0,10.0,7.0,8.0,6.0,4.0,93.0,82.0,54.0,1013,1010,1007,10.0,10.0,8.0,23,5,,0.0,6.0,Rain,207,21,November,1997
1997-11-22,12.0,8.0,5.0,5.0,1.0,-2.0,93.0,64.0,41.0,1021,1015,1008,10.0,10.0,9.0,23,6,,0.0,5.0,Rain,315,22,November,1997
1997-11-24,8.0,4.0,2.0,7.0,4.0,2.0,100.0,93.0,87.0,1017,1011,1007,10.0,9.0,4.0,11,5,,0.0,6.0,Rain,358,24,November,1997
1997-11-25,10.0,8.0,7.0,8.0,7.0,6.0,93.0,91.0,82.0,1010,1004,998,10.0,7.0,3.0,37,8,,0.0,7.0,Rain,160,25,November,1997
1997-11-26,13.0,10.0,7.0,9.0,7.0,5.0,100.0,84.0,67.0,1012,1004,998,10.0,8.0,4.0,8,5,,0.0,5.0,Rain,27,26,November,1997
1997-11-27,13.0,8.0,3.0,6.0,4.0,2.0,100.0,82.0,62.0,1019,1016,1012,10.0,6.0,0.0,13,5,,0.0,4.0,Fog,167,27,November,1997
1997-11-28,11.0,9.0,7.0,9.0,7.0,5.0,94.0,88.0,82.0,1020,1019,1018,10.0,8.0,4.0,11,5,,0.0,7.0,Rain,211,28,November,1997
1997-11-29,14.0,9.0,5.0,8.0,5.0,3.0,100.0,75.0,48.0,1021,1020,1018,10.0,8.0,0.0,29,13,37.0,0.0,4.0,Fog,254,29,November,1997
1997-12-04,6.0,2.0,-1.0,1.0,-2.0,-5.0,100.0,72.0,46.0,1010,1007,1005,10.0,8.0,1.0,39,13,48.0,0.0,7.0,Rain-Snow,36,4,December,1997
1997-12-05,8.0,4.0,0.0,-2.0,-4.0,-6.0,80.0,57.0,43.0,1021,1013,1008,10.0,10.0,8.0,35,19,,0.0,3.0,Snow,49,5,December,1997
1997-12-07,7.0,2.0,-3.0,2.0,-1.0,-4.0,100.0,83.0,57.0,1024,1023,1021,9.0,7.0,4.0,10,3,,0.0,3.0,Rain,47,7,December,1997
1997-12-08,7.0,6.0,4.0,7.0,5.0,3.0,100.0,96.0,93.0,1022,1020,1018,7.0,2.0,0.0,3,2,,0.0,6.0,Fog-Rain,25,8,December,1997
1997-12-09,7.0,6.0,6.0,7.0,5.0,4.0,100.0,91.0,81.0,1024,1022,1019,5.0,4.0,0.0,19,2,,0.0,7.0,Fog,13,9,December,1997
1997-12-10,9.0,7.0,5.0,6.0,5.0,4.0,100.0,89.0,76.0,1028,1025,1024,5.0,3.0,1.0,6,2,,0.0,7.0,Fog,86,10,December,1997
1997-12-11,10.0,8.0,7.0,8.0,7.0,6.0,100.0,92.0,87.0,1028,1026,1025,4.0,2.0,1.0,6,2,,0.0,7.0,Fog,123,11,December,1997
1997-12-12,12.0,9.0,6.0,10.0,7.0,0.0,100.0,83.0,61.0,1028,1024,1022,10.0,5.0,0.0,19,5,,0.0,5.0,Fog-Rain,16,12,December,1997
1997-12-16,10.0,6.0,2.0,8.0,4.0,1.0,100.0,94.0,87.0,1006,1000,997,9.0,6.0,2.0,19,8,,0.0,7.0,Rain,338,16,December,1997
1997-12-17,14.0,11.0,9.0,12.0,10.0,7.0,94.0,88.0,82.0,999,998,996,10.0,7.0,3.0,37,23,55.0,0.0,7.0,Rain,184,17,December,1997
1997-12-18,14.0,10.0,7.0,12.0,6.0,3.0,93.0,77.0,58.0,1003,1000,996,10.0,10.0,7.0,42,26,63.0,0.0,6.0,Rain,209,18,December,1997
1997-12-19,11.0,9.0,7.0,6.0,5.0,5.0,87.0,79.0,71.0,1007,1004,1001,10.0,10.0,10.0,29,14,48.0,0.0,5.0,Rain,211,19,December,1997
1997-12-21,10.0,8.0,6.0,8.0,6.0,3.0,93.0,87.0,76.0,1020,1017,1016,10.0,7.0,4.0,24,11,,0.0,6.0,Rain,205,21,December,1997
1997-12-22,12.0,10.0,8.0,10.0,7.0,4.0,100.0,85.0,58.0,1019,1014,1011,10.0,6.0,1.0,39,6,,0.0,6.0,Rain,300,22,December,1997
1997-12-24,10.0,6.0,1.0,5.0,3.0,0.0,100.0,89.0,71.0,1034,1032,1031,10.0,7.0,1.0,8,3,,0.0,5.0,Fog,357,24,December,1997
1997-12-25,9.0,7.0,5.0,6.0,4.0,4.0,100.0,88.0,71.0,1032,1030,1028,5.0,3.0,0.0,11,5,27.0,0.0,6.0,Fog-Rain,152,25,December,1997
1997-12-26,13.0,9.0,6.0,7.0,2.0,-3.0,100.0,71.0,35.0,1028,1025,1023,10.0,6.0,0.0,37,11,,0.0,3.0,Fog-Rain,246,26,December,1997
1997-12-29,9.0,7.0,6.0,7.0,6.0,4.0,100.0,92.0,87.0,1015,1013,1011,10.0,5.0,1.0,10,5,,0.0,8.0,Fog,5,29,December,1997
1997-12-30,12.0,9.0,7.0,8.0,7.0,7.0,100.0,86.0,72.0,1013,1012,1011,10.0,7.0,2.0,8,5,,0.0,8.0,Fog,354,30,December,1997
1998-01-05,14.0,10.0,6.0,9.0,6.0,2.0,100.0,79.0,47.0,1025,1023,1022,10.0,9.0,0.0,13,6,,0.0,4.0,Fog,278,5,January,1998
1998-01-06,8.0,4.0,2.0,4.0,3.0,1.0,100.0,89.0,66.0,1028,1026,1025,10.0,7.0,0.0,11,5,,0.0,5.0,Fog,359,6,January,1998
1998-01-08,15.0,8.0,2.0,6.0,3.0,1.0,100.0,78.0,42.0,1031,1029,1028,10.0,7.0,1.0,10,6,,0.0,3.0,Fog,17,8,January,1998
1998-01-12,12.0,9.0,7.0,7.0,6.0,4.0,93.0,81.0,67.0,1022,1017,1012,10.0,10.0,8.0,37,10,55.0,0.0,6.0,Rain,147,12,January,1998
1998-01-13,11.0,8.0,6.0,9.0,4.0,-2.0,94.0,71.0,54.0,1020,1015,1011,10.0,10.0,8.0,34,24,52.0,0.0,4.0,Rain,233,13,January,1998
1998-01-16,12.0,6.0,1.0,7.0,4.0,0.0,100.0,89.0,67.0,1030,1027,1018,10.0,6.0,0.0,13,5,,0.0,3.0,Fog,65,16,January,1998
1998-01-17,12.0,6.0,-1.0,2.0,1.0,-1.0,100.0,80.0,44.0,1031,1029,1026,10.0,7.0,0.0,10,2,,0.0,2.0,Fog,49,17,January,1998
1998-01-24,10.0,6.0,2.0,4.0,2.0,0.0,100.0,81.0,54.0,1016,1015,1013,10.0,9.0,7.0,21,10,,0.0,6.0,Rain,9,24,January,1998
1998-01-26,6.0,3.0,0.0,3.0,1.0,-4.0,100.0,88.0,65.0,1016,1014,1012,10.0,9.0,5.0,27,8,,0.0,6.0,Rain-Snow,34,26,January,1998
1998-01-27,9.0,4.0,1.0,7.0,3.0,1.0,100.0,85.0,66.0,1014,1010,1008,10.0,10.0,8.0,26,10,,0.0,6.0,Rain,68,27,January,1998
